API,Category,Description_URL
SetWindowsHookExA,Spying,https://malapi.io/winapi/SetWindowsHookExA
ShellExecuteA,Internet,https://malapi.io/winapi/ShellExecuteA
ShellExecuteExA,Internet,https://malapi.io/winapi/ShellExecuteExA
ShowWindow,Helper,https://malapi.io/winapi/ShowWindow
SizeOfResource,Evasion,https://malapi.io/winapi/SizeOfResource
SizeOfResource,Helper,https://malapi.io/winapi/SizeOfResource
Sleep,Evasion,https://malapi.io/winapi/Sleep
Sleep,Anti-Debugging,https://malapi.io/winapi/Sleep
SleepEx,Evasion,https://malapi.io/winapi/SleepEx 
SleepEx,Anti-Debugging,https://malapi.io/winapi/SleepEx 
Socket,Internet,https://malapi.io/winapi/Socket
StartServiceA,Helper,https://malapi.io/winapi/StartServiceA
StartServiceCtrlDispatcherA,Helper,https://malapi.io/winapi/StartServiceCtrlDispatcherA
StretchBlt,Spying,https://malapi.io/winapi/StretchBlt
SuspendThread,Injection,https://malapi.io/winapi/SuspendThread
TerminateProcess,Helper,https://malapi.io/winapi/TerminateProcess 
TerminateThread,Helper,https://malapi.io/winapi/TerminateThread
Thread32First,Enumeration,https://malapi.io/winapi/Thread32First
Thread32First,Injection,https://malapi.io/winapi/Thread32First
Thread32Next,Enumeration,https://malapi.io/winapi/Thread32Next
Thread32Next,Injection,https://malapi.io/winapi/Thread32Next
TimeGetTime,Evasion,https://malapi.io/winapi/TimeGetTime
